,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1271,up_votes,0,88,35114886,1891,-1,2066,1979729,17,377
1293,up_votes,0,6,34606603,5342,0,740,395974,20,858
1319,up_votes,0,115,37401664,1830,0,715,1080650,10,519
1332,up_votes,2,90,35452455,22374,0,862,138557,13,2327
1333,up_votes,0,90,37390009,22374,0,862,138557,17,2327
1334,up_votes,3,90,31924965,22374,1,862,138557,18,2327
1339,up_votes,2,33,36769524,863,0,1207,812013,20,473
1351,up_votes,0,0,37028608,3720,0,679,4137061,16,299
1392,up_votes,5,50,33356852,1186,0,710,2768038,20,756
1393,up_votes,3,50,37330387,1186,0,710,2768038,19,756
1394,up_votes,0,50,32024587,1186,0,710,2768038,17,756
1395,up_votes,2,50,29663856,1186,0,710,2768038,17,756
1396,up_votes,1,50,33080120,1186,0,710,2768038,20,756
1397,up_votes,0,50,27039330,1186,1,710,2768038,16,756
1398,up_votes,0,50,29551344,1186,0,710,2768038,19,756
1399,up_votes,1,50,36981290,1186,-1,710,2768038,15,756
1407,up_votes,1,30,32247565,18700,0,3498,774183,18,1414
1408,up_votes,1,30,32513370,18700,0,3498,774183,15,1414
1409,up_votes,4,30,32968098,18700,0,3498,774183,18,1414
1410,up_votes,0,30,37642843,18700,0,3498,774183,19,1414
1430,up_votes,3,136,33303051,3938,0,982,3711219,20,992
1431,up_votes,1,136,34631295,3938,1,982,3711219,18,992
1432,up_votes,0,136,30984506,3938,0,982,3711219,19,992
1433,up_votes,4,136,35386912,3938,0,982,3711219,20,992
1434,up_votes,0,136,32647446,3938,0,982,3711219,17,992
1435,up_votes,0,136,27063715,3938,1,982,3711219,13,992
1436,up_votes,0,136,24315784,3938,0,982,3711219,18,992
1456,up_votes,1,196,36644264,4508,0,1127,2674553,14,379
5,down_votes,1,87,35988296,599,1,511,1044533,17,123
13,down_votes,4,10078,36239904,14904,2,10334,472495,20,25765
14,down_votes,1,10078,33599405,14904,0,10334,472495,13,25765
60,down_votes,1,47,33151882,1271,0,574,1870412,15,587
61,down_votes,0,47,19445706,1271,0,574,1870412,20,587
85,down_votes,0,43,35039792,747,0,171,447522,16,65
86,down_votes,0,43,35873638,747,0,171,447522,9,65
88,down_votes,1,81,37709593,472,0,32,3027461,16,71
92,down_votes,0,50,36448739,24856,2,1539,90998,18,3104
134,down_votes,0,71,32224190,3455,0,273,5011469,19,488
163,down_votes,0,366,37369064,2974,0,1273,3763848,14,204
171,down_votes,0,226,32904234,13447,0,1270,777733,10,795
172,down_votes,0,226,36594706,13447,0,1270,777733,19,795
173,down_votes,9,226,37746267,13447,0,1270,777733,20,795
198,down_votes,2,143,36625648,2079,0,487,5312731,14,210
199,down_votes,0,143,35013294,2079,1,487,5312731,17,210
219,down_votes,0,47,31539633,12329,0,333,1081340,18,1286
250,down_votes,0,101,34392985,892,0,249,5154146,18,347
251,down_votes,0,101,33977336,892,0,249,5154146,18,347
252,down_votes,6,101,36908686,892,0,249,5154146,10,347
253,down_votes,0,101,36302141,892,0,249,5154146,9,347
